alt_text,brand,image_path,image_url,is_base64,link,price,title
Tenis Olympikus Quartzo Masculino Evasense Macio Original,OLYMPIKUS,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$261,56",Tenis Olympikus Quartzo Masculino Evasense Macio Original
Tênis Corrida Confortável Caminhada Feminino Air Academia,,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$50,24",Tênis Corrida Confortável Caminhada Feminino Air Academia
Tênis Fila Progress Lite Masculino Corrida - Caminhada,FILA,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$273,07",Tênis Fila Progress Lite Masculino Corrida - Caminhada
Tenis Olimp Esportivo Masculino Feminino Leve E Macio,OLIMP,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$69,43",Tenis Olimp Esportivo Masculino Feminino Leve E Macio
Tênis Under Armour Tribase Lift Masculino,UNDER ARMOUR,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$329,99",Tênis Under Armour Tribase Lift Masculino
Kit Tenis Masculino Academia + Relógio Digital Led + Meia,,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$99,90",Kit Tenis Masculino Academia + Relógio Digital Led + Meia
Tenis Masculino E Feminino De Caminhada Ortopedico Crossfit,ASCENSION,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$65,45",Tenis Masculino E Feminino De Caminhada Ortopedico Crossfit
Olympikus Wellness 2 Masculino Adultos,OLYMPIKUS,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$199,32",Olympikus Wellness 2 Masculino Adultos
Tênis Fila Ride 2 Masculino Corrida Casual Academia Fitness,FILA,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$241,99",Tênis Fila Ride 2 Masculino Corrida Casual Academia Fitness
Tênis 33 A 43 Original Corrida Treino Macio Leve Novo Barato,NEW BALANCE,images\Tênis-33-A-43-Original-Corrida-Treino-Macio-Leve-N_9c3fa724.webp,https://http2.mlstatic.com/D_Q_NP_2X_951459-MLB83902387837_042025-E-tnis-33-a-43-original-corrida-treino-macio-leve-novo-barato.webp,False,,"R$99,99",Tênis 33 A 43 Original Corrida Treino Macio Leve Novo Barato
Tênis Asics Revelation Esportivo Corrida Original Envio Full,ASICS,images\Tênis-Asics-Revelation-Esportivo-Corrida-Original-_890a3cee.webp,https://http2.mlstatic.com/D_Q_NP_2X_656087-MLB83081442134_032025-E-tnis-asics-revelation-esportivo-corrida-original-envio-full.webp,False,,"R$99,90",Tênis Asics Revelation Esportivo Corrida Original Envio Full
Tênis adidas Latin Run 2 Masculino Antiderrapante Corrida,ADIDAS,images\Tênis-adidas-Latin-Run-2-Masculino-Antiderrapante-_0976343d.webp,https://http2.mlstatic.com/D_Q_NP_2X_800963-MLB80302885681_102024-E-tnis-adidas-latin-run-2-masculino-antiderrapante-corrida.webp,False,,"R$256,90",Tênis adidas Latin Run 2 Masculino Antiderrapante Corrida
Mizuno Running Wave Way 5 5 Masculino 101021021 MASCULINO,MIZUNO,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$312,99",Mizuno Running Wave Way 5 5 Masculino 101021021 MASCULINO
Tênis Fila Kr6 Cabedal Respirável Masculino Treino Corrida,FILA,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,,"R$334,99",Tênis Fila Kr6 Cabedal Respirável Masculino Treino Corrida
